Site,variable,CV,DensBiom,LengthArea,CommunitySt,MultipassFirstPass,Park
DeerShanty,STDensCPUE,0.276617451,Density,CPUE,Brook trout,Firstpass,Catskill
Durgin,STDensCPUE,0.341542544,Density,CPUE,Brook trout,Firstpass,ADK
Fly,STDensCPUE,0.337285337,Density,CPUE,Brook trout,Firstpass,ADK
Moss,STDensCPUE,0.231631335,Density,CPUE,Brook trout,Firstpass,ADK
NewHill,STDensCPUE,0.118908133,Density,CPUE,Brook trout,Firstpass,Catskill
Oasis,STDensCPUE,0.250257781,Density,CPUE,Brook trout,Firstpass,Catskill
Seventh,STDensCPUE,0.284526098,Density,CPUE,Brook trout,Firstpass,ADK
Slide,STDensCPUE,0.475660209,Density,CPUE,Brook trout,Firstpass,Catskill
Tisons,STDensCPUE,0.249432652,Density,CPUE,Brook trout,Firstpass,Catskill
Winnisook,STDensCPUE,0.638421559,Density,CPUE,Brook trout,Firstpass,Catskill
21013,STBiomCPUE,0.458454645,Biomass,CPUE,Brook trout,Firstpass,ADK
Biscuit,STBiomCPUE,0.488370507,Biomass,CPUE,Brook trout,Firstpass,Catskill
Buck,STBiomCPUE,0.43386576,Biomass,CPUE,Brook trout,Firstpass,ADK
DeerShanty,STBiomCPUE,0.277714126,Biomass,CPUE,Brook trout,Firstpass,Catskill
Durgin,STBiomCPUE,0.216973103,Biomass,CPUE,Brook trout,Firstpass,ADK
Fly,STBiomCPUE,0.531560718,Biomass,CPUE,Brook trout,Firstpass,ADK
Moss,STBiomCPUE,0.195753693,Biomass,CPUE,Brook trout,Firstpass,ADK
NewHill,STBiomCPUE,0.329345129,Biomass,CPUE,Brook trout,Firstpass,Catskill
Oasis,STBiomCPUE,0.10795788,Biomass,CPUE,Brook trout,Firstpass,Catskill
Seventh,STBiomCPUE,0.404190706,Biomass,CPUE,Brook trout,Firstpass,ADK
Slide,STBiomCPUE,0.629628795,Biomass,CPUE,Brook trout,Firstpass,Catskill
Tisons,STBiomCPUE,0.248235857,Biomass,CPUE,Brook trout,Firstpass,Catskill
Winnisook,STBiomCPUE,0.726245642,Biomass,CPUE,Brook trout,Firstpass,Catskill
